title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/input_noactivity_1(88),1.972,1.884,7.142,6.033,7.106,6.141,0
no_act/input_noactivity_1(89),1.933,1.771,6.673,5.702,6.719,5.639,0
no_act/input_noactivity_1(90),1.975,1.787,6.589,5.813,6.656,5.704,0
no_act/input_noactivity_1(91),2.089,1.783,6.654,6.141,6.884,5.9,0
no_act/input_noactivity_1(92),1.952,1.818,7.018,6.124,7.24,5.787,0
no_act/input_noactivity_1(93),1.863,1.81,6.897,6.377,6.934,6.282,0
no_act/input_noactivity_1(94),2.274,1.956,7.185,6.499,7.472,6.485,0
no_act/input_noactivity_1(95),2.296,1.963,6.87,6.636,7.05,6.755,0
no_act/input_noactivity_1(96),2.164,1.82,6.497,6.073,6.806,6.152,0
no_act/input_noactivity_1(97),2.129,1.785,6.74,5.877,7.082,5.848,0
no_act/input_noactivity_1(98),2.202,1.836,6.848,5.887,6.779,5.94,0
no_act/input_noactivity_1(99),1.953,1.811,6.86,5.771,6.699,5.909,0
no_act/input_noactivity_1(100),1.998,1.783,6.698,6.411,6.508,6.289,0
no_act/input_noactivity_1(101),2.048,1.818,6.927,6.426,6.703,6.433,0
no_act/input_noactivity_1(102),2.023,1.9,6.74,6.18,6.782,6.039,0
no_act/input_noactivity_1(103),2.09,1.884,6.475,6.066,6.363,5.973,0
no_act/input_noactivity_1(104),2.194,1.845,6.606,6.259,6.436,6.17,0
no_act/input_noactivity_1(105),2.108,1.847,7.439,6.188,7.249,6.277,0
no_act/input_noactivity_1(106),2.106,1.98,7.167,6.301,6.782,6.412,0
no_act/input_noactivity_1(107),2.186,1.897,6.575,6.32,6.609,5.955,0
no_act/input_noactivity_1(108),2.137,1.974,6.679,6.508,6.745,6.364,0
no_act/input_noactivity_1(109),2.082,1.852,6.791,6.403,6.676,6.413,0
no_act/input_noactivity_1(110),2.021,1.902,7.008,6.382,6.976,6.353,0
no_act/input_noactivity_1(111),1.978,1.859,7.309,6.081,7.281,6.127,0
no_act/input_noactivity_1(112),1.98,1.822,6.988,6.399,6.892,6.375,0
no_act/input_noactivity_1(113),1.977,1.852,6.987,6.223,6.779,6.341,0
no_act/input_noactivity_1(114),1.95,1.867,6.77,5.736,6.478,5.936,0
no_act/input_noactivity_1(115),1.868,1.824,7.136,6.039,6.996,6.146,0
no_act/input_noactivity_1(116),2.055,1.958,7.646,6.271,7.631,6.458,0
no_act/input_noactivity_1(117),2.222,2.062,7.014,6.753,7.055,6.906,0
no_act/input_noactivity_1(118),2.232,1.89,6.643,6.233,6.682,6.282,0
no_act/input_noactivity_1(119),2.176,1.746,6.671,6.091,6.765,6.161,0
no_act/input_noactivity_1(120),2.185,1.879,7.177,6.101,7.085,6.281,0
