title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_7(164),-0.978,-0.828,-0.783,-0.828,-0.758,0
no_act/19A_noactivity_7(165),-0.979,-0.827,-0.817,-0.832,-0.805,0
no_act/19A_noactivity_7(166),-0.981,-0.814,-0.788,-0.814,-0.822,0
no_act/19A_noactivity_7(167),-0.984,-0.802,-0.856,-0.793,-0.805,0
no_act/19A_noactivity_7(168),-0.981,-0.813,-0.824,-0.849,-0.824,0
no_act/19A_noactivity_7(169),-0.981,-0.819,-0.824,-0.805,-0.808,0
no_act/19A_noactivity_7(170),-0.982,-0.82,-0.816,-0.829,-0.865,0
no_act/19A_noactivity_7(171),-0.981,-0.844,-0.797,-0.828,-0.786,0
no_act/19A_noactivity_7(172),-0.969,-0.828,-0.843,-0.807,-0.811,0
no_act/19A_noactivity_7(173),-0.981,-0.832,-0.855,-0.811,-0.777,0
no_act/19A_noactivity_7(174),-0.981,-0.822,-0.797,-0.839,-0.822,0
no_act/19A_noactivity_7(175),-0.978,-0.816,-0.806,-0.848,-0.806,0
no_act/19A_noactivity_3(0),-0.97,-0.822,-0.896,-0.772,-0.823,0
no_act/19A_noactivity_3(1),-0.975,-0.817,-0.756,-0.868,-0.796,0
no_act/19A_noactivity_3(2),-0.956,-0.817,-0.776,-0.808,-0.81,0
no_act/19A_noactivity_3(3),-0.94,-0.824,-0.802,-0.822,-0.827,0
no_act/19A_noactivity_3(4),-0.95,-0.82,-0.801,-0.828,-0.821,0
no_act/19A_noactivity_3(5),-0.825,-0.964,-0.78,-0.792,-0.841,0
no_act/19A_noactivity_3(6),-0.835,-0.955,-0.787,-0.763,-0.849,0
no_act/19A_noactivity_3(7),-0.826,-0.955,-0.773,-0.824,-0.77,0
no_act/19A_noactivity_3(8),-0.88,-0.874,-0.801,-0.819,-0.777,0
no_act/19A_noactivity_3(9),-0.92,-0.847,-0.788,-0.763,-0.821,0
no_act/19A_noactivity_3(10),-0.986,-0.91,-0.899,-0.886,-0.858,0
no_act/19A_noactivity_3(11),-0.974,-0.826,-0.815,-0.86,-0.815,0
no_act/19A_noactivity_3(12),-0.974,-0.831,-0.786,-0.876,-0.819,0
no_act/19A_noactivity_3(13),-0.862,-0.894,-0.78,-0.838,-0.796,0
no_act/19A_noactivity_3(14),-0.968,-0.831,-0.825,-0.833,-0.795,0
no_act/19A_noactivity_3(15),-0.963,-0.832,-0.844,-0.826,-0.793,0
no_act/19A_noactivity_3(16),-0.818,-0.975,-0.788,-0.851,-0.828,0
no_act/19A_noactivity_3(17),-0.82,-0.961,-0.755,-0.785,-0.809,0
no_act/19A_noactivity_3(18),-0.839,-0.924,-0.784,-0.793,-0.795,0
no_act/19A_noactivity_3(19),-0.943,-0.828,-0.813,-0.86,-0.787,0
no_act/19A_noactivity_3(20),-0.952,-0.828,-0.865,-0.808,-0.781,0
no_act/19A_noactivity_3(21),-0.986,-0.928,-0.889,-0.887,-0.846,0
no_act/19A_noactivity_3(22),-0.981,-0.818,-0.889,-0.827,-0.807,0
no_act/19A_noactivity_3(23),-0.97,-0.825,-0.828,-0.882,-0.79,0
no_act/19A_noactivity_3(24),-0.925,-0.838,-0.832,-0.875,-0.782,0
no_act/19A_noactivity_3(25),-0.962,-0.819,-0.828,-0.862,-0.801,0
no_act/19A_noactivity_3(26),-0.905,-0.859,-0.786,-0.912,-0.795,0
no_act/19A_noactivity_3(27),-0.852,-0.924,-0.842,-0.788,-0.791,0
no_act/19A_noactivity_3(28),-0.828,-0.947,-0.783,-0.774,-0.825,0
no_act/19A_noactivity_3(29),-0.822,-0.948,-0.774,-0.836,-0.819,0
no_act/19A_noactivity_3(30),-0.819,-0.952,-0.843,-0.792,-0.822,0
no_act/19A_noactivity_3(31),-0.823,-0.955,-0.793,-0.808,-0.804,0
no_act/19A_noactivity_3(32),-0.986,-0.906,-0.893,-0.861,-0.865,0
no_act/19A_noactivity_3(33),-0.976,-0.822,-0.787,-0.775,-0.832,0
no_act/19A_noactivity_3(34),-0.985,-0.821,-0.866,-0.785,-0.806,0
no_act/19A_noactivity_3(35),-0.945,-0.834,-0.85,-0.793,-0.75,0
no_act/19A_noactivity_3(36),-0.932,-0.834,-0.804,-0.784,-0.852,0
no_act/19A_noactivity_3(37),-0.957,-0.822,-0.783,-0.811,-0.837,0
no_act/19A_noactivity_3(38),-0.945,-0.849,-0.766,-0.809,-0.799,0
no_act/19A_noactivity_3(39),-0.975,-0.828,-0.774,-0.806,-0.862,0
no_act/19A_noactivity_3(40),-0.929,-0.818,-0.791,-0.843,-0.794,0
no_act/19A_noactivity_3(41),-0.835,-0.924,-0.796,-0.837,-0.78,0
no_act/19A_noactivity_3(42),-0.824,-0.953,-0.792,-0.797,-0.78,0
no_act/19A_noactivity_3(43),-0.986,-0.919,-0.907,-0.88,-0.854,0
no_act/19A_noactivity_3(44),-0.981,-0.827,-0.871,-0.804,-0.851,0
no_act/19A_noactivity_3(45),-0.974,-0.825,-0.805,-0.804,-0.863,0
no_act/19A_noactivity_3(46),-0.969,-0.821,-0.797,-0.775,-0.84,0
no_act/19A_noactivity_3(47),-0.968,-0.814,-0.817,-0.807,-0.774,0
no_act/19A_noactivity_3(48),-0.972,-0.817,-0.798,-0.847,-0.805,0
no_act/19A_noactivity_3(49),-0.868,-0.882,-0.825,-0.765,-0.821,0
no_act/19A_noactivity_3(50),-0.834,-0.937,-0.806,-0.799,-0.832,0
no_act/19A_noactivity_3(51),-0.813,-0.965,-0.807,-0.821,-0.758,0
no_act/19A_noactivity_3(52),-0.838,-0.91,-0.841,-0.755,-0.809,0
no_act/19A_noactivity_3(53),-0.945,-0.833,-0.81,-0.791,-0.826,0
no_act/19A_noactivity_3(54),-0.986,-0.922,-0.88,-0.89,-0.861,0
no_act/19A_noactivity_3(55),-0.974,-0.817,-0.805,-0.855,-0.794,0
no_act/19A_noactivity_3(56),-0.97,-0.819,-0.908,-0.788,-0.802,0
no_act/19A_noactivity_3(57),-0.89,-0.859,-0.87,-0.791,-0.786,0
no_act/19A_noactivity_3(58),-0.885,-0.858,-0.845,-0.82,-0.778,0
