title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_3(75),-0.896,-0.79,-0.784,-0.847,-0.786,0
no_act/19A_noactivity_3(76),-0.987,-0.875,-0.922,-0.824,-0.861,0
no_act/19A_noactivity_3(77),-0.944,-0.814,-0.807,-0.78,-0.802,0
no_act/19A_noactivity_3(78),-0.933,-0.78,-0.808,-0.787,-0.794,0
no_act/19A_noactivity_3(79),-0.912,-0.806,-0.801,-0.813,-0.798,0
no_act/19A_noactivity_3(80),-0.913,-0.811,-0.851,-0.758,-0.804,0
no_act/19A_noactivity_3(81),-0.887,-0.779,-0.792,-0.811,-0.849,0
no_act/19A_noactivity_3(82),-0.908,-0.767,-0.809,-0.789,-0.786,0
no_act/19A_noactivity_3(83),-0.91,-0.793,-0.834,-0.78,-0.778,0
no_act/19A_noactivity_3(84),-0.881,-0.792,-0.818,-0.817,-0.774,0
no_act/19A_noactivity_3(85),-0.884,-0.799,-0.791,-0.798,-0.77,0
no_act/19A_noactivity_3(86),-0.895,-0.812,-0.798,-0.78,-0.769,0
no_act/19A_noactivity_3(87),-0.984,-0.843,-0.877,-0.843,-0.84,0
no_act/19A_noactivity_3(88),-0.931,-0.822,-0.811,-0.746,-0.78,0
no_act/19A_noactivity_3(89),-0.936,-0.813,-0.769,-0.772,-0.822,0
no_act/19A_noactivity_3(90),-0.917,-0.813,-0.811,-0.821,-0.77,0
no_act/19A_noactivity_3(91),-0.909,-0.809,-0.786,-0.807,-0.808,0
no_act/19A_noactivity_3(92),-0.872,-0.811,-0.82,-0.791,-0.778,0
no_act/19A_noactivity_3(93),-0.801,-0.792,-0.784,-0.803,-0.793,0
no_act/19A_noactivity_3(94),-0.907,-0.807,-0.82,-0.767,-0.809,0
no_act/19A_noactivity_3(95),-0.884,-0.804,-0.826,-0.774,-0.815,0
no_act/19A_noactivity_3(96),-0.872,-0.805,-0.805,-0.815,-0.803,0
no_act/19A_noactivity_3(97),-0.926,-0.804,-0.806,-0.818,-0.778,0
no_act/19A_noactivity_3(98),-0.988,-0.865,-0.827,-0.881,-0.868,0
no_act/19A_noactivity_3(99),-0.933,-0.803,-0.768,-0.766,-0.789,0
no_act/19A_noactivity_3(100),-0.914,-0.773,-0.791,-0.79,-0.863,0
no_act/19A_noactivity_3(101),-0.916,-0.828,-0.799,-0.804,-0.827,0
no_act/19A_noactivity_3(102),-0.924,-0.832,-0.824,-0.749,-0.808,0
no_act/19A_noactivity_3(103),-0.884,-0.822,-0.764,-0.812,-0.829,0
no_act/19A_noactivity_3(104),-0.901,-0.82,-0.789,-0.774,-0.793,0
no_act/19A_noactivity_3(105),-0.906,-0.8,-0.784,-0.785,-0.813,0
no_act/19A_noactivity_3(106),-0.834,-0.789,-0.778,-0.846,-0.757,0
no_act/19A_noactivity_3(107),-0.833,-0.813,-0.817,-0.817,-0.764,0
no_act/19A_noactivity_3(108),-0.858,-0.792,-0.818,-0.818,-0.79,0
no_act/19A_noactivity_3(109),-0.988,-0.859,-0.865,-0.837,-0.935,0
no_act/19A_noactivity_3(110),-0.936,-0.774,-0.837,-0.79,-0.763,0
no_act/19A_noactivity_3(111),-0.933,-0.787,-0.78,-0.767,-0.821,0
no_act/19A_noactivity_3(112),-0.896,-0.786,-0.783,-0.837,-0.774,0
no_act/19A_noactivity_3(113),-0.933,-0.8,-0.796,-0.746,-0.791,0
no_act/19A_noactivity_3(114),-0.907,-0.799,-0.791,-0.82,-0.789,0
no_act/19A_noactivity_3(115),-0.861,-0.859,-0.788,-0.78,-0.837,0
no_act/19A_noactivity_3(116),-0.926,-0.804,-0.784,-0.78,-0.773,0
no_act/19A_noactivity_3(117),-0.922,-0.803,-0.797,-0.78,-0.777,0
no_act/19A_noactivity_3(118),-0.853,-0.837,-0.801,-0.835,-0.806,0
no_act/19A_noactivity_3(119),-0.917,-0.791,-0.785,-0.802,-0.79,0
no_act/19A_noactivity_3(120),-0.988,-0.85,-0.814,-0.831,-0.859,0
no_act/19A_noactivity_3(121),-0.892,-0.82,-0.829,-0.78,-0.785,0
