title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_3(59),-0.936,-0.822,-0.794,-0.759,-0.805,0
no_act/19A_noactivity_3(60),-0.836,-0.909,-0.809,-0.784,-0.756,0
no_act/19A_noactivity_3(61),-0.867,-0.868,-0.814,-0.781,-0.786,0
no_act/19A_noactivity_3(62),-0.922,-0.836,-0.77,-0.794,-0.796,0
no_act/19A_noactivity_3(63),-0.93,-0.828,-0.788,-0.817,-0.798,0
no_act/19A_noactivity_3(64),-0.932,-0.836,-0.818,-0.78,-0.785,0
no_act/19A_noactivity_3(65),-0.999,-0.828,-0.848,-0.818,-0.821,0
no_act/19A_noactivity_3(66),-0.96,-0.838,-0.783,-0.784,-0.762,0
no_act/19A_noactivity_3(67),-0.953,-0.831,-0.76,-0.761,-0.827,0
no_act/19A_noactivity_3(68),-0.83,-0.935,-0.801,-0.805,-0.844,0
no_act/19A_noactivity_3(69),-0.921,-0.847,-0.747,-0.808,-0.774,0
no_act/19A_noactivity_3(70),-0.828,-0.91,-0.782,-0.793,-0.77,0
no_act/19A_noactivity_3(71),-0.845,-0.889,-0.798,-0.784,-0.748,0
no_act/19A_noactivity_3(72),-0.954,-0.828,-0.835,-0.794,-0.772,0
no_act/19A_noactivity_3(73),-0.944,-0.825,-0.811,-0.807,-0.785,0
no_act/19A_noactivity_3(74),-0.908,-0.834,-0.778,-0.821,-0.792,0
no_act/19A_noactivity_3(75),-0.896,-0.831,-0.797,-0.743,-0.808,0
no_act/19A_noactivity_3(76),-0.999,-0.815,-0.889,-0.863,-0.829,0
no_act/19A_noactivity_3(77),-0.833,-0.917,-0.813,-0.789,-0.802,0
no_act/19A_noactivity_3(78),-0.956,-0.823,-0.817,-0.778,-0.782,0
no_act/19A_noactivity_3(79),-0.946,-0.835,-0.81,-0.799,-0.766,0
no_act/19A_noactivity_3(80),-0.942,-0.835,-0.782,-0.816,-0.776,0
no_act/19A_noactivity_3(81),-0.948,-0.837,-0.802,-0.795,-0.817,0
no_act/19A_noactivity_3(82),-0.924,-0.843,-0.809,-0.783,-0.768,0
no_act/19A_noactivity_3(83),-0.923,-0.829,-0.763,-0.816,-0.801,0
no_act/19A_noactivity_3(84),-0.877,-0.883,-0.798,-0.811,-0.813,0
no_act/19A_noactivity_3(85),-0.847,-0.923,-0.792,-0.824,-0.791,0
no_act/19A_noactivity_3(86),-0.948,-0.822,-0.822,-0.788,-0.772,0
no_act/19A_noactivity_3(87),-0.999,-0.83,-0.838,-0.809,-0.824,0
no_act/19A_noactivity_3(88),-0.952,-0.824,-0.783,-0.758,-0.774,0
no_act/19A_noactivity_3(89),-0.963,-0.838,-0.809,-0.768,-0.774,0
no_act/19A_noactivity_3(90),-0.936,-0.845,-0.793,-0.758,-0.783,0
no_act/19A_noactivity_3(91),-0.962,-0.843,-0.796,-0.806,-0.775,0
no_act/19A_noactivity_3(92),-0.851,-0.911,-0.767,-0.784,-0.771,0
no_act/19A_noactivity_3(93),-0.873,-0.847,-0.793,-0.773,-0.777,0
no_act/19A_noactivity_3(94),-0.916,-0.836,-0.789,-0.787,-0.791,0
no_act/19A_noactivity_3(95),-0.815,-0.919,-0.801,-0.773,-0.782,0
no_act/19A_noactivity_3(96),-0.833,-0.878,-0.778,-0.82,-0.839,0
no_act/19A_noactivity_3(97),-0.933,-0.827,-0.821,-0.756,-0.825,0
no_act/19A_noactivity_3(98),-0.999,-0.812,-0.875,-0.8,-0.791,0
no_act/19A_noactivity_3(99),-0.941,-0.82,-0.779,-0.776,-0.774,0
no_act/19A_noactivity_3(100),-0.955,-0.813,-0.776,-0.809,-0.766,0
no_act/19A_noactivity_3(101),-0.948,-0.819,-0.788,-0.788,-0.824,0
no_act/19A_noactivity_3(102),-0.953,-0.821,-0.789,-0.795,-0.795,0
no_act/19A_noactivity_3(103),-0.93,-0.798,-0.793,-0.805,-0.824,0
no_act/19A_noactivity_3(104),-0.952,-0.817,-0.772,-0.806,-0.843,0
no_act/19A_noactivity_3(105),-0.932,-0.818,-0.793,-0.809,-0.815,0
no_act/19A_noactivity_3(106),-0.812,-0.94,-0.787,-0.819,-0.784,0
no_act/19A_noactivity_3(107),-0.82,-0.877,-0.785,-0.812,-0.775,0
no_act/19A_noactivity_3(108),-0.814,-0.841,-0.786,-0.799,-0.825,0
no_act/19A_noactivity_3(109),-0.999,-0.826,-0.854,-0.812,-0.784,0
no_act/19A_noactivity_3(110),-0.945,-0.816,-0.807,-0.814,-0.825,0
no_act/19A_noactivity_3(111),-0.961,-0.827,-0.821,-0.79,-0.815,0
no_act/19A_noactivity_3(112),-0.954,-0.827,-0.826,-0.806,-0.831,0
no_act/19A_noactivity_3(113),-0.947,-0.828,-0.804,-0.781,-0.833,0
no_act/19A_noactivity_3(114),-0.824,-0.934,-0.776,-0.824,-0.802,0
no_act/19A_noactivity_3(115),-0.817,-0.921,-0.791,-0.774,-0.799,0
no_act/19A_noactivity_3(116),-0.881,-0.873,-0.8,-0.819,-0.787,0
no_act/19A_noactivity_3(117),-0.819,-0.898,-0.822,-0.804,-0.789,0
no_act/19A_noactivity_3(118),-0.808,-0.918,-0.784,-0.781,-0.823,0
no_act/19A_noactivity_3(119),-0.84,-0.92,-0.789,-0.791,-0.785,0
