FILE,VAR_A,VAR_B,VAR_C,Y
d5_1-03,35.67,5.19,2.9,1
d5_1-04,40.69,5.93,4.33,1
d5_1-05,52.8,4.26,2.7,1
d5_1-06,37.42,4.25,2.4,1
d1_1-01,1.02,1.63,0.21,1
d1_1-02,0.95,1.48,0.2,1
d1_1-03,1.02,1.55,0.21,1
d1_1-04,1.27,2.49,0.25,1
d1_1-05,1.17,2.48,0.26,1
d1_1-06,3.99,1.99,0.69,1
