title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/csi_noactivity_2(68),7.736,7.237,11.495,10.153,10.272,9.113,0
no_act/csi_noactivity_2(69),8.17,7.144,11.69,10.394,11.052,8.924,0
no_act/csi_noactivity_2(70),8.248,7.447,11.666,10.764,10.815,9.2,0
no_act/csi_noactivity_2(71),8.487,7.466,11.507,10.97,10.441,9.535,0
no_act/csi_noactivity_2(72),7.976,7.735,12.305,10.28,10.954,9.045,0
no_act/csi_noactivity_2(73),8.057,7.385,12.303,9.87,10.68,9.158,0
no_act/csi_noactivity_2(74),8.446,6.932,12.44,9.568,10.284,9.356,0
no_act/csi_noactivity_2(75),8.218,7.016,12.565,9.518,10.283,9.189,0
no_act/csi_noactivity_2(76),8.047,7.125,11.909,9.923,9.922,9.369,0
no_act/csi_noactivity_2(77),7.917,7.21,11.418,10.512,10.559,9.027,0
no_act/csi_noactivity_2(78),7.861,7.444,12.069,10.089,10.544,9.131,0
no_act/csi_noactivity_2(79),8.335,7.037,12.022,9.889,9.954,9.512,0
no_act/csi_noactivity_2(80),8.397,6.878,11.733,9.921,9.955,9.362,0
no_act/csi_noactivity_2(81),8.184,7.155,11.401,10.528,10.324,9.186,0
no_act/csi_noactivity_2(82),8.155,7.283,11.741,10.323,10.337,9.227,0
no_act/csi_noactivity_2(83),8.267,7.216,12.198,9.845,10.255,9.31,0
no_act/csi_noactivity_2(84),8.331,7.144,12.077,9.89,10.056,9.507,0
no_act/csi_noactivity_2(85),8.359,6.996,11.525,10.318,10.304,9.276,0
no_act/csi_noactivity_2(86),8.491,6.93,11.837,10.218,10.214,9.49,0
no_act/csi_noactivity_2(87),8.151,7.357,12.314,9.922,10.418,9.201,0
no_act/csi_noactivity_2(88),8.164,7.365,12.431,9.999,10.68,9.352,0
no_act/csi_noactivity_2(89),7.997,7.579,12.255,10.096,10.82,9.101,0
no_act/csi_noactivity_2(90),8.051,7.514,11.782,10.49,10.741,9.143,0
no_act/csi_noactivity_2(91),8.019,7.367,11.799,10.342,10.362,9.489,0
no_act/csi_noactivity_2(92),7.881,7.264,11.513,10.403,9.991,9.501,0
no_act/csi_noactivity_2(93),7.847,7.074,11.247,10.442,10.01,9.355,0
no_act/csi_noactivity_2(94),8.161,6.925,11.86,9.81,9.961,9.495,0
no_act/csi_noactivity_2(95),8.442,7.02,12.219,9.972,10.03,9.698,0
no_act/csi_noactivity_2(96),8.117,7.175,11.506,10.891,10.51,9.401,0
