title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
c6e4_1(9),-0.998,-0.982,-0.913,-0.879,-0.838,7.842,7.178,11.144,9.833,10.864,8.957,1
c1e3_1(44),-0.993,-0.887,-0.924,-0.851,-0.89,8.357999999999999,7.4860000000000015,11.088,10.108,10.991,9.347,1
b1_1(107),-0.983,-0.83,-0.976,-0.792,-0.89,11.859000000000002,10.476,11.746,9.74,3.177,2.59,1
a2e6_2(133),-0.998,-0.982,-0.903,-0.852,-0.892,9.23,7.892,11.504,9.682,9.777,9.572,1
a4c6_2(118),-0.995,-0.983,-0.8809999999999999,-0.851,-0.903,8.25,7.375,11.653,9.443,10.315,9.256,1
a6e2_2(63),-0.995,-0.971,-0.8740000000000001,-0.84,-0.913,8.73,7.693,10.601,10.286,10.755,9.575,1
e5_1(102),-0.973,-0.983,-0.8859999999999999,-0.833,-0.8590000000000001,10.429,9.748,10.074,9.109,6.752000000000002,5.8660000000000005,1
a5b6_1(169),-0.989,-0.8540000000000001,-0.957,-0.8759999999999999,-0.8690000000000001,8.566,7.784,11.3,9.993,10.922,8.937999999999997,1
d6_1(52),-0.981,-0.8340000000000001,-0.955,-0.799,-0.85,11.393,11.189,11.083,10.56,3.1910000000000003,2.8760000000000003,1
a4c6_2(142),-0.992,-0.98,-0.884,-0.853,-0.866,8.415,7.945,11.578,10.062,10.941,9.011,1
a3d6_1(173),-0.993,-0.973,-0.867,-0.857,-0.928,8.402999999999999,7.82,11.664,9.603,11.091,9.288,1
a5e1_1(31),-0.996,-0.98,-0.897,-0.8540000000000001,-0.8809999999999999,7.329,7.286,11.321,9.803,10.461,8.742,1
a3c1_1(41),-0.998,-0.981,-0.935,-0.848,-0.875,8.115,7.217,11.494000000000002,9.804,10.73,8.972000000000003,1
c6e4_1(53),-0.998,-0.983,-0.916,-0.858,-0.87,7.877999999999999,7.0710000000000015,11.121,10.018,10.627,9.247,1
a6e2_1(6),-0.998,-0.982,-0.918,-0.84,-0.887,8.059,6.768,11.307,9.615,11.039,8.252,1
b1e2_2(6),-0.991,-0.882,-0.966,-0.841,-0.871,8.652999999999999,7.858,11.366,9.737,10.242,9.755,1
d2_1(48),-0.976,-0.83,-0.936,-0.79,-0.855,11.43,11.364,11.092,10.337,3.236,2.735,1
b6e3_1(170),-0.998,-0.979,-0.904,-0.865,-0.877,7.972,7.234,11.167,10.05,10.06,9.299,1
b1e4_1(46),-0.996,-0.979,-0.883,-0.848,-0.906,8.116,7.786,11.306,10.14,10.662,9.517,1
a5e1_2(139),-0.998,-0.98,-0.942,-0.821,-0.93,8.781,7.49,11.611,8.795,10.795,9.163,1
a5b6_1(29),-0.988,-0.929,-0.887,-0.8590000000000001,-0.841,8.755,7.651,10.698,10.549,10.736,9.362,1
a3d6_1(158),-0.996,-0.981,-0.846,-0.893,-0.901,8.437999999999999,7.835,11.584,9.335,10.393,8.957,1
c2_1(86),-0.981,-0.83,-0.97,-0.89,-0.785,12.162,10.454,11.454,10.003,2.927,2.496,1
b6e3_2(173),-0.998,-0.983,-0.928,-0.841,-0.887,8.995,7.234,10.671,9.919,10.739,9.102,1
d5_1(109),-0.987,-0.888,-0.877,-0.863,-0.804,11.763,9.578,11.357,8.699,6.0870000000000015,5.2620000000000005,1
a2_1(125),-0.987,-0.838,-0.964,-0.858,-0.82,11.587,10.793,10.936,10.48,2.959,2.4130000000000003,1
c2_1(131),-0.983,-0.8270000000000001,-0.966,-0.787,-0.825,11.983,10.855,11.106,10.446,3.154,2.474,1
c1_1(11),-0.981,-0.826,-0.938,-0.7959999999999999,-0.8,12.348,10.401,11.543,10.038,3.175,2.695,1
a4d1_2(40),-0.998,-0.984,-0.946,-0.847,-0.872,8.585,7.582999999999998,11.39,9.301,10.213,9.354,1
e4_1(74),-0.98,-0.835,-0.955,-0.7829999999999999,-0.8170000000000001,11.76,11.085,10.288,9.63,5.546,4.825,1
a6e2_1(133),-0.993,-0.851,-0.969,-0.873,-0.927,7.659,7.186,11.843,10.246,11.102,9.089,1
a6_1(152),-0.988,-0.8320000000000001,-0.96,-0.7879999999999999,-0.858,11.763,10.932,10.842,10.663,3.039,2.547,1
c6e4_2(157),-0.996,-0.982,-0.929,-0.825,-0.931,8.849,7.677,11.567,9.599,10.091,9.432,1
e2_1(125),-0.986,-0.825,-0.794,-0.804,-0.836,12.257,10.475,11.222,10.212,3.467,2.895,1
b1e4_2(108),-0.995,-0.905,-0.936,-0.8540000000000001,-0.919,8.889,7.659,11.255,9.891,10.22,9.852,1
e3_1(15),-0.981,-0.8270000000000001,-0.7979999999999999,-0.8320000000000001,-0.8240000000000001,12.352,10.546,10.48,9.706,5.417000000000002,4.787,1
c6_1(135),-0.983,-0.8290000000000001,-0.944,-0.782,-0.909,12.435,10.348,11.338,10.263,3.447,2.6910000000000003,1
b4_1(114),-0.985,-0.836,-0.967,-0.8270000000000001,-0.836,12.034,10.664,10.970999999999998,10.444,3.12,2.641,1
c1e3_1(88),-0.994,-0.895,-0.939,-0.845,-0.86,8.258,7.6720000000000015,12.053,9.233,11.175,9.054,1
